Date,Business bankruptcies,Non-Business bankruptcies,NGDP,RGDP,Inflation rates(%),Housing affordability index,adults investing money in the stock market(%),Debt celling(billion),Federal funds rate level (%),ur Less than a high school diploma,"ur High school graduates, no college","Some college, no degree",Associate degree,Bachelor's degree and higher,Hong_Kong bankruptcy
2000-01-01,35472,,10251,13138,3.4,,62,5950,6.4,6.3,3.4,2.9,2.3,1.7,5487
2001-01-01,40099,,10581.9,13263.4,2.8,,62,5950,1.82,7.2,4.2,3.5,2.9,2.3,13186
2002-01-01,38540,,10929.1,13488.4,1.6,,60,6400,1.67,8.4,5.3,4.8,4,2.9,26922
2003-01-01,35037,,11456.5,13865.5,2.3,,60,7384,1.13,8.8,5.5,5.2,4,3.1,22092
2004-01-01,34317,,12217.2,14399.7,2.7,,61,8184,1.35,8.5,5,4.5,3.7,2.7,12489
2005-01-01,39201,,13039.2,14901.3,3.4,,62,8184,3.22,7.6,4.7,4.2,3.3,2.3,9933
2006-01-01,19695,,13815.6,15315.9,3.2,,61,8965,4.97,6.8,4.3,3.9,3,2,10685
2007-01-01,28322,,14474.2,15623.9,2.9,,65,9815,5.02,7.1,4.4,3.8,3,2,10918
2008-01-01,43546,,14769.9,15643,3.8,,62,11315,1.92,9,5.7,5.1,3.7,2.6,11620
2009-01-01,60837,1344095,14478.1,15236.3,-0.4,169.2,57,12394,0.16,14.6,9.7,8.6,6.8,4.6,15784
2010-01-01,56282,1538033,15049,15649,1.6,171.3,56,14294,0.18,14.9,10.3,9.2,7,4.7,9102
2011-01-01,47806,1417326,15599.7,15891.5,3.2,183.4,54,15194,0.1,14.1,9.4,8.7,6.8,4.3,8077
2012-01-01,40075,1219132,16254,16254,2.1,193.3,53,16394,0.14,12.4,8.3,7.7,6.2,4,8685
2013-01-01,33212,1072807,16843.2,16553.3,1.5,175.1,52,16699.4,0.11,11,7.5,7,5.4,3.7,9449
2014-01-01,26983,935420,17550.7,16932.1,1.6,163.5,54,17211.6,0.09,9,6,6,4.5,3.2,10027
2015-01-01,24735,835197,18206,17390.3,0.1,164.6,55,18113,0.13,8,5.4,5,3.8,2.6,9875
2016-01-01,24114,781123,18695.1,17680.3,1.3,166.2,52,20456,0.39,7.4,5.2,4.4,3.6,2.5,9051
2017-01-01,23157,767721,19477.3,18076.7,2.1,157.9,54,20465,1,6.5,4.6,4,3.4,2.3,7855
2018-01-01,22232,751272,20533.1,18609.1,2.4,146.3,55,20465,1.83,5.6,4.1,3.7,2.8,2.1,7480
2019-01-01,22780,750878,21381,19036.1,1.8,160,55,21987.7,2.16,5.4,3.7,3.3,2.7,2.1,8151
2020-01-01,21655,659881,21060.5,18509.1,1.2,169.9,55,21987.7,0.37,11.7,9,8.3,7.1,4.8,8693
2021-01-01,14347,443798,23315.1,19609.8,4.7,148.2,56,31381.5,0.08,8.3,6.2,5.5,4.6,3.1,7197
2022-01-01,13125,367886,25462.7,20014.1,8,103.8,58,31381.5,4.1,5.5,4,3.5,2.7,2,6920
2023-01-01,15724,403000,null,null,null,null,61,null,,,,,,,
