date,us bankruptcy,EFFR,us employment cost index,GDP(Billions),us unemployment rate,"Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States, Percent, Quarterly, Not Seasonally Adjusted",adults investing money in the stock market(%),HSCI,CCMP Index,NYA Index,us market cap,hk bankruptcy,Federal Debt,HK policy,US policy
2000-03-31,312335,5.85,,10002.179,4.087491239,6.48,62,,2.41E+13,3.28E+13,5.69E+13,1106,57.72134,0.00E+00,3.30E+01
2000-06-30,321729,6.53,,10247.72,3.984665021,6.176666667,62,,2.23E+13,3.19E+13,5.41E+13,1054,55.48491,0.00E+00,3.30E+01
2000-09-30,308718,6.52,,10318.165,4.058545355,5.893333333,62,,2.30E+13,3.31E+13,5.61E+13,1198,54.99213,0.00E+00,3.30E+01
2000-12-31,310169,6.4,,10435.744,3.949702535,5.566666667,62,,2.06E+13,3.20E+13,5.27E+13,1198,54.25790,0.00E+00,3.30E+01
2001-03-31,366841,5.31,87.6,10470.231,4.292366071,5.05,62,,1.78E+13,3.17E+13,4.95E+13,1428,55.14434,0.00E+00,3.30E+01
2001-06-30,400394,3.97,88.4,10599,4.490615573,5.27,62,,1.79E+13,2.84E+13,4.63E+13,1967,54.03165,0.00E+00,3.30E+01
2001-09-30,359518,3.07,89.2,10598.02,4.866259056,4.98,62,,1.89E+13,3.06E+13,4.95E+13,2568,54.79763,0.00E+00,3.30E+01
2001-12-31,364921,1.82,90,10660.465,5.594910264,4.77,62,,2.42E+13,3.55E+13,5.96E+13,3188,55.75216,0.00E+00,3.30E+01
2002-03-31,379012,1.73,90.7,10783.5,5.805090395,5.076666667,60,,2.66E+13,3.66E+13,6.32E+13,4041,55.69650,0.00E+00,3.30E+01
2002-06-30,400686,1.75,91.6,10887.46,5.91567144,5.1,60,3.52922E+12,2.44E+13,3.45E+13,5.90E+13,6132,56.27087,0.00E+00,3.30E+01
2002-09-30,401306,1.75,92,10984.04,5.776667329,4.26,60,3.01068E+12,2.43E+13,3.54E+13,5.97E+13,7254,56.70260,0.00E+00,3.30E+01
2002-12-31,395129,1.24,92.3,11061.433,5.938094585,4.006666667,60,3.1056E+12,2.17E+13,3.33E+13,5.49E+13,7901,57.91028,0.00E+00,3.30E+01
2003-03-31,412968,1.25,93.3,11174.129,5.95635992,3.92,60,3.05063E+12,2.08E+13,3.09E+13,5.17E+13,8952,57.81906,1.50E+01,0.00E+00
2003-06-30,440257,1.22,93.8,11312.766,6.22858413,3.62,60,3.54852E+12,1.78E+13,2.70E+13,4.48E+13,6713,58.96101,1.50E+01,0.00E+00
2003-09-30,412989,1.01,94.7,11566.669,6.151129708,4.233333333,60,4.22763E+12,1.58E+13,2.50E+13,4.08E+13,5112,58.64541,1.50E+01,0.00E+00
2003-12-31,393348,0.98,95.2,11772.234,5.935679603,4.286666667,60,4.85489E+12,1.20E+13,2.18E+13,3.37E+13,4145,59.44466,0.00E+00,0.00E+00
2004-03-31,407572,1,95.7,11923.447,5.774675671,4.02,61,5.11862E+12,1.39E+13,2.95E+13,4.34E+13,4688,59.80710,0.00E+00,0.00E+00
2004-06-30,421110,1.03,96.4,12112.815,5.653163034,4.6,61,4.96814E+12,1.24E+13,2.77E+13,4.01E+13,3436,60.05487,0.00E+00,0.00E+00
2004-09-30,396438,1.61,97.2,12305.307,5.484615266,4.303333333,61,5.32989E+12,1.24E+13,2.78E+13,4.01E+13,3111,59.96643,0.00E+00,0.00E+00
2004-12-31,371668,2.16,97.7,12527.214,5.483774791,4.173333333,61,5.82541E+12,1.20E+13,2.71E+13,3.91E+13,2358,60.63713,0.00E+00,0.00E+00
2005-03-31,401149,2.63,98.3,12767.286,5.337325177,4.296666667,62,5.83128E+12,1.03E+13,2.45E+13,3.48E+13,2701,60.91302,0.00E+00,0.00E+00
2005-06-30,467333,3.04,98.8,12922.656,5.177787405,4.16,62,6.2035E+12,1.26E+13,2.81E+13,4.07E+13,2410,60.64153,0.00E+00,0.00E+00
2005-09-30,542002,3.62,99.4,13142.642,5.031404214,4.213333333,62,6.75778E+12,1.18E+13,2.71E+13,3.88E+13,2472,60.35856,0.00E+00,0.00E+00
2005-12-31,667431,4.16,100.1,13324.204,5.023263906,4.49,62,6.66896E+12,1.11E+13,2.72E+13,3.83E+13,2227,61.32008,0.00E+00,0.00E+00
2006-03-31,116771,4.59,100.8,13599.16,4.793032998,4.57,61,8.39091E+12,1.08E+13,2.80E+13,3.88E+13,2525,61.55642,0.00E+00,0.00E+00
2006-06-30,155833,4.99,101.6,13753.424,4.7469841,5.07,61,8.82288E+12,1.01E+13,2.70E+13,3.70E+13,2552,61.22142,0.00E+00,0.00E+00
2006-09-30,171146,5.25,102.5,13870.188,4.705609189,4.896666667,61,9.4333E+12,9.52E+12,2.56E+13,3.51E+13,2699,61.33280,0.00E+00,0.00E+00
2006-12-31,177599,5.24,103.3,14039.56,4.51430487,4.63,61,1.13898E+13,9.20E+12,2.51E+13,3.43E+13,2548,61.82689,0.00E+00,0.00E+00
2007-03-31,193641,5.26,104.3,14215.651,4.575912176,4.68,65,1.19991E+13,8.39E+12,2.42E+13,3.26E+13,2716,62.25297,0.00E+00,0.00E+00
2007-06-30,210449,5.25,105.1,14402.082,4.565462341,4.846666667,65,1.38129E+13,8.31E+12,2.36E+13,3.19E+13,2619,61.57219,0.00E+00,0.00E+00
2007-09-30,218909,4.94,105.9,14564.117,4.721242929,4.73,65,1.75598E+13,7.62E+12,2.31E+13,3.08E+13,3420,61.84826,0.00E+00,0.00E+00
2007-12-31,226413,4.24,106.7,14715.058,4.86339259,4.26,65,1.77454E+13,7.64E+12,2.27E+13,3.04E+13,2305,62.71924,0.00E+00,0.00E+00
2008-03-31,245695,2.61,107.6,14706.538,5.013964719,3.663333333,62,1.51223E+13,7.89E+12,2.27E+13,3.06E+13,2433,64.17278,4.50E+01,4.10E+01
